name,classes,controllers,size,stars,forks,language,subscribers,open_issues,user,repo,RESOLUTION,CHM,CHD,IRN,IFN,OPN,CMQ,SMQ,SERVICES
Seenck/jeecg-bpm-3.8,810,128,30635,5,8, JavaScript,0,2,Seenck,jeecg-bpm-3.8,0.4,0.35947675860149186,0.5477270399511589,5799.0,1.9142857142857144,987.0,0.2630440057151157,0.13612035222584154,42.0
simbest/simbest-cores,401,28,583182,5,10, Java,3,0,simbest,simbest-cores,0.3,0.5547016691322328,0.25362588024581195,1187.0,1.6153846153846154,148.0,0.3146677088441371,0.12681684050328804,30.0
GraffiTab/GraffiTab-Backend,188,11,85291,5,1, HTML,3,42,GraffiTab,GraffiTab-Backend,0.3,0.5651966516628171,0.7284962812263205,574.0,1.1428571428571428,80.0,0.4057842064372396,0.16934348759235832,23.0
surajcm/Poseidon,122,31,46779,4,1, Java,0,3,surajcm,Poseidon,0.3,0.6958014208014207,0.7139826443397872,406.0,1.0,73.0,0.5110601242469375,0.2035026564044421,14.0
loongw513029/buscloud,347,40,6110,4,0, Java,1,0,loongw513029,buscloud,0.3,0.6481638198653393,0.7711604934377426,1329.0,2.0,144.0,0.3619829427632685,0.21336483617916288,32.0
tcrct/duang,377,12,865,4,1, Java,1,2,tcrct,duang,0.5,0.6934566145092461,0.09738372093023256,1039.0,4.0,38.0,0.3496510184894188,0.09910926391053552,21.0
ZFGCCP/ZFGC3,471,26,7164,4,1, Java,6,34,ZFGCCP,ZFGC3,0.3,0.7930949167791274,0.9337419597945914,851.0,1.4,52.0,0.2922462747806935,0.15541264110841296,51.0
WilsonHu/sinsim,243,42,2374,4,0, TSQL,5,2,WilsonHu,sinsim,0.3,0.555038392746958,0.918349708298788,1129.0,1.4545454545454546,224.0,0.5513675667031547,0.1749654460303042,32.0
crypto-coder/open-cyclos,2514,1271,46129,4,8, Java,2,0,crypto-coder,open-cyclos,0.3,0.29638877640522376,0.3019640132514255,18577.0,1.75,239.0,0.2885538842523674,0.05943192445400178,66.0
sfx478076717/goldenarches,56,11,18294,4,0, Java,0,0,sfx478076717,goldenarches,0.3,0.5420833333333334,0.4806284635066147,113.0,1.0,62.0,0.5217788272333728,0.19757142857142854,11.0
zndo/oss-admin-parent,106,32,14826,4,0, HTML,2,0,zndo,oss-admin-parent,0.3,0.9388888888888888,0.9444444444444444,19.0,1.1666666666666667,11.0,0.6204528134783325,0.08944911297852473,17.0
dp2-g56/Dp2-L02,245,40,1002,4,1, Java,2,0,dp2-g56,Dp2-L02,0.3,0.7405304571971238,0.27147715211440704,1461.0,1.8888888888888888,170.0,0.36035495889392,0.1589981594712578,22.0
cable5881/Fund,201,17,4176,4,3, Java,1,0,cable5881,Fund,0.3,0.4053290175931685,0.4797201994457045,917.0,1.5555555555555556,136.0,0.2502289185611378,0.1597088585127224,33.0
wangwang1230/te-empl,156,24,29367,4,5, Java,1,0,wangwang1230,te-empl,0.3,0.6530255819729504,0.9364291900423896,502.0,2.0,78.0,0.5004453118819848,0.2936095393636154,24.0
ElectiveTeam/elective_system,97,15,3692,4,0, JavaScript,1,0,ElectiveTeam,elective_system,0.3,0.5133182474091563,0.6959991327415569,233.0,1.0909090909090908,71.0,0.3730303061509808,0.19286123961369064,17.0
Rocklee830630/WMSystem,816,204,100424,4,9, Java,1,0,Rocklee830630,WMSystem,0.5,0.8033011793246815,0.9617817705154258,23746.0,3.8484848484848486,907.0,0.2799005780438474,0.08006156255074097,41.0
75193982/HyLMS,535,141,13852,4,6, Java,0,0,75193982,HyLMS,0.3,0.7362086467835812,0.9955357142857144,2728.0,1.9090909090909087,578.0,0.4727977470517679,0.2011994609998515,47.0
sunxingtm/FPMS,721,91,78516,4,6, Java,1,0,sunxingtm,FPMS,0.3,0.7950392952667547,0.6685462692649412,2963.0,1.5254237288135593,697.0,0.4408282711006276,0.2614678800547877,69.0
next-step/jwp-jdbc,117,16,2932,4,40, Java,7,1,next-step,jwp-jdbc,0.3,0.65,0.525,30.0,1.25,9.0,0.7331267217630856,0.22324284511784512,12.0
KongZouXiang/TradeSteward,232,40,13484,4,1, JavaScript,1,1,KongZouXiang,TradeSteward,0.3,0.3748766459327957,0.3892815795321685,202.0,1.181818181818182,222.0,0.5631491925614626,0.2520903914925653,23.0
Glamdring/welshare,241,33,7918,4,5, Java,1,0,Glamdring,welshare,0.5,0.6533438880724238,0.4291086644291944,1900.0,1.4705882352941178,201.0,0.29750605350328346,0.11593210530593047,20.0
skyisbule/nanfeng,71,13,5421,4,3, Java,0,2,skyisbule,nanfeng,0.3,0.5729797979797979,0.19935064935064933,3.0,1.0,54.0,0.2398055383769669,0.22220779220779224,15.0
OHDSI/ArachneCentralAPI,832,64,87322,4,2, Java,14,7,OHDSI,ArachneCentralAPI,0.3,0.293753317689471,0.5709473861996046,1115.0,1.5454545454545454,275.0,0.3632643798274087,0.07079486828281575,41.0
mingslife/LightCMS,103,17,7736,4,0, JavaScript,1,0,mingslife,LightCMS,0.3,0.5435425685425685,0.11673881673881673,269.0,1.181818181818182,77.0,0.4120556211465303,-0.06677789802789805,12.0
linolee/class4,187,24,45658,4,2, JavaScript,0,4,linolee,class4,0.3,0.6785617580365478,0.6340902577962402,204.0,1.3571428571428572,96.0,0.3982525952022429,0.2885244169793858,23.0
yaowuya/lprapm,105,26,57665,4,0, JavaScript,1,1,yaowuya,lprapm,0.3,0.6466821639898563,0.8018103691180615,157.0,1.1538461538461535,113.0,0.4035742466213381,0.28395297496989225,20.0
yShen868/ssm03,94,14,2169,4,1, JavaScript,1,5,yShen868,ssm03,0.3,0.4768645495918224,0.6990640638057993,99.0,1.0909090909090908,83.0,0.42936507936507934,0.2869524754346184,15.0
dagilmore/Riddlin,51,12,25836,4,0, Java,1,0,dagilmore,Riddlin,0.3,0.6817094017094018,0.5784798534798534,66.0,2.2,36.0,0.5242975206611571,0.2469090909090909,11.0
dovier/coj-web,453,62,54111,4,1, Java,5,2,dovier,coj-web,0.3,0.5526059163464346,0.3230565876617552,1863.0,2.1739130434782608,428.0,0.2282864268658123,0.13224969228151695,30.0
chenzhq/WsMonitor,246,16,4520,4,2, JavaScript,2,8,chenzhq,WsMonitor,0.3,0.870077145077145,0.4913265401265402,921.0,1.5,92.0,0.32148393065742153,0.12767379936577347,24.0
parkkyoung/f4mall,59,15,15349,4,0, JavaScript,0,0,parkkyoung,f4mall,0.3,0.7144436826113845,0.7379047619047618,74.0,1.1428571428571428,52.0,0.4916225749559083,0.2666192680776014,9.0
zhouweiwei18/HospitalSystem,210,29,30769,3,8, JavaScript,1,5,zhouweiwei18,HospitalSystem,0.3,0.4196789321789322,0.836765615337044,47.0,1.0,128.0,0.22164845980635456,0.1754189553531659,38.0
uq-eresearch/lorestore,85,11,2095,3,3, JavaScript,3,12,uq-eresearch,lorestore,0.3,0.6760850260850261,0.02655677655677656,126.0,1.0,37.0,0.36709401709401707,0.135505698005698,13.0
momoplan/dataanalysis,195,20,2596,3,3, Java,4,0,momoplan,dataanalysis,0.4,1.0,0.976056376573618,1911.0,1.5555555555555556,83.0,0.4029303132757334,0.1833369987670171,23.0
isa-group/ideas-studio,115,20,9401,3,5, JavaScript,11,100,isa-group,ideas-studio,0.3,0.6619800489365708,0.4740086397384534,353.0,1.5,90.0,0.3919940476190477,0.21362227182539684,16.0
smartcommunitylab/smartcampus.vas.corsi.web,65,13,1828,3,0, JavaScript,33,0,smartcommunitylab,smartcampus.vas.corsi.web,0.3,0.3835235471599108,0.8647716421279253,278.0,1.0909090909090908,67.0,0.3748923237934227,0.26984454038025474,14.0
xiongzhenhai-zh/produce-project-managerment,113,14,2409,3,0, Java,0,0,xiongzhenhai-zh,produce-project-managerment,0.3,0.7083333333333334,0.9894179894179894,259.0,1.1111111111111112,53.0,0.5391291810841984,0.2391046262254901,17.0
flamefire33/uckefu,609,75,83225,3,7, Java,1,0,flamefire33,uckefu,0.3,0.6166805220125384,0.843477581978323,3886.0,2.85,353.0,0.2588635648991634,0.15856205011076066,38.0
XMFBee/AuthPlatform1,281,63,13445,3,0, JavaScript,0,0,XMFBee,AuthPlatform1,0.3,0.2999540594525569,0.7053747724431717,2300.0,1.3235294117647058,408.0,0.5016210041034247,0.16439587992532848,39.0
scrumtracker/scrumtracker2017,44,13,69555,3,2, Java,5,1,scrumtracker,scrumtracker2017,0.3,0.614025260453832,0.6846108351210392,94.0,1.5714285714285714,55.0,0.7022222222222223,0.16693209876543208,10.0
kingslayer15/mutual,170,23,28101,3,4, HTML,0,3,kingslayer15,mutual,0.3,0.5977696705280577,0.5392008229724747,83.0,1.1176470588235294,174.0,0.5723277936112654,0.2408552596418093,19.0
